annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes,status_rank
hyaluronidase,hyaluronidase,97,0.0038,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
acyl-CoA N-acyltransferase,acyl-CoA N-acyltransferase,104,0.0041,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
major coat protein,major coat protein,54,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cobalamin biosynthesis protein,cobalamin biosynthesis protein,110,0.0043,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
lysophospholipase L1-like esterase,lysophospholipase L1-like esterase,111,0.0044,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
ADP-ribosyltransferase exoenzyme toxin,ADP-ribosyltransferase exoenzyme toxin,114,0.0045,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
pilin,pilin,54,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
HTH DNA binding domain protein,HTH DNA binding domain protein,119,0.0047,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
glycoside hydrolase,glycoside hydrolase,120,0.0047,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
lipase,lipase,122,0.0048,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
CII-like regulator,CII-like regulator,122,0.0048,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
MokW-like host killing,MokW-like host killing,123,0.0048,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
2-aminooxy adenylosuccinate synthetase,2-aminooxy adenylosuccinate synthetase,124,0.0049,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
CpeT-like antenna protein,CpeT-like antenna protein,130,0.0051,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
transcription factor,transcription factor,159,0.0063,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
replication terminator,replication terminator,107,0.0042,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
sulfatase-modifying factor enzyme,sulfatase-modifying factor enzyme,55,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
primosomal protein,primosomal protein,55,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
poly-gamma-glutamate hydrolase,poly-gamma-glutamate hydrolase,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
CsrA-like regulator,CsrA-like regulator,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Doc-like toxin,Doc-like toxin,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
haemolysin-type calcium binding,haemolysin-type calcium binding,75,0.0029,defer,Host_cell_exit,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
dATP triphosphohydrolase,dATP triphosphohydrolase,57,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
DNA repair photolyase,DNA repair photolyase,57,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
UmuD-like protein,UmuD-like protein,58,0.0023,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
threonine dehydratase,threonine dehydratase,58,0.0023,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
zinc-finger protease,zinc-finger protease,59,0.0023,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
RecX-like filament modulator,RecX-like filament modulator,61,0.0024,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cell division inhibitor,cell division inhibitor,86,0.0034,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
S-adenosylmethionine decarboxylase,S-adenosylmethionine decarboxylase,63,0.0025,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
transaldolase,transaldolase,66,0.0026,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
UDP-glucose dehydrogenase,UDP-glucose dehydrogenase,68,0.0027,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
GtrC-like O-antigen conversion translocase,GtrC-like O-antigen conversion translocase,68,0.0027,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
esterase,esterase,69,0.0027,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
MazF-like growth inhibitor,MazF-like growth inhibitor,70,0.0028,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
"RecA or Sak4, length ?","RecA or Sak4, length ?",71,0.0028,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
PblB-type receptor binding,PblB-type receptor binding,96,0.0038,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
HicB-like antitoxin,HicB-like antitoxin,75,0.0029,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
arabinose 5-phosphate isomerase,arabinose 5-phosphate isomerase,76,0.003,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
DNA terminal protein,DNA terminal protein,79,0.0031,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
GP16.7-like replication protein,GP16.7-like replication protein,80,0.0031,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
phosphodiesterase,phosphodiesterase,86,0.0034,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Nol-like carbamoyltransferase,Nol-like carbamoyltransferase,36,0.0014,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
phosphoribosylaminoimidazole synthetase,phosphoribosylaminoimidazole synthetase,19,0.0007,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
lysis determining protein,lysis determining protein,19,0.0007,defer,Host_cell_exit,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
GtrB-like O-antigen conversion,GtrB-like O-antigen conversion,19,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
alkylated DNA repair,alkylated DNA repair,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
RstB sensor of two protein system,RstB sensor of two protein system,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
quaternary ammonium compound-resistance protein QacE,quaternary ammonium compound-resistance protein QacE,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Ku-like DNA end binding,Ku-like DNA end binding,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
phosphoribosylaminoimidazole-succinocarboxamide synthase,phosphoribosylaminoimidazole-succinocarboxamide synthase,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
stringent starvation protein Sspb-like,stringent starvation protein Sspb-like,17,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
beta-lactamase-inhibitor protein BLIP,beta-lactamase-inhibitor protein BLIP,17,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Ref-like RecA filament endonuclease,Ref-like RecA filament endonuclease,17,0.0007,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
6-phosphofructokinase,6-phosphofructokinase,16,0.0006,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
sigma 54 modulation protein/ribosomal protein S30EA,sigma 54 modulation protein/ribosomal protein S30EA,16,0.0006,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
transcription antiterminator,transcription antiterminator,16,0.0006,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
complement inhibitor,complement inhibitor,16,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
phosphate transporter subunit,phosphate transporter subunit,15,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
ADP-ribosylglycohydrolase,ADP-ribosylglycohydrolase,15,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
replisome organizer DnaA-like,replisome organizer DnaA-like,15,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Abi alpha-like abortive infection mechanism,Abi alpha-like abortive infection mechanism,14,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
T3SS secreted effector Ibe,T3SS secreted effector Ibe,13,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
phosphatidylglycerophosphatase A,phosphatidylglycerophosphatase A,13,0.0005,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
pentameric base spike protein,pentameric base spike protein,13,0.0005,defer,Host_interface_entry,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Nun-like transcription termination factor,Nun-like transcription termination factor,12,0.0005,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
ribonuclease toxin of AT system,ribonuclease toxin of AT system,12,0.0005,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
core encoded pilin,core encoded pilin,12,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
peroxyredoxin antioxidant,peroxyredoxin antioxidant,12,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
flagellar protein,flagellar protein,12,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
genome terminal protein,genome terminal protein,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
gpCom control of modification,gpCom control of modification,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
RexB-like exclusion protein,RexB-like exclusion protein,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
aminoacid permease,aminoacid permease,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cyanobacterial phosphoribosylglycinamide formyltransferase,cyanobacterial phosphoribosylglycinamide formyltransferase,11,0.0004,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
aerobic cobaltochelatase CobT subunit,aerobic cobaltochelatase CobT subunit,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
restriction enzyme I,restriction enzyme I,11,0.0004,defer,Genome_maintenance_propagation,DNA_recombination,,mechanistically specific but no stable dedicated L3 in current ontology,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,hold as defer until a dedicated node is justified,,,restriction enzyme itself is not anti-restriction; no confident v1.1 L3 leaf,2
RexA-like exclusion protein,RexA-like exclusion protein,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
CTXphi Zot-like toxin,CTXphi Zot-like toxin,11,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
chemotaxis inhibition protein,chemotaxis inhibition protein,10,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
transfer protein,transfer protein,10,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
beta-propeller repeat protein,beta-propeller repeat protein,10,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
photosystem II D2,photosystem II D2,9,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
pyramid forming protein,pyramid forming protein,9,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
taurine catabolism dioxygenase,taurine catabolism dioxygenase,9,0.0004,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
"BstA abortive infection system, replication inhibitor","BstA abortive infection system, replication inhibitor",9,0.0004,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
spore protease,spore protease,8,0.0003,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
major capsid protein,major capsid protein,8,0.0003,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
pectin lyase activity,pectin lyase activity,8,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
uracil-DNA glycosylase,uracil-DNA glycosylase,7,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
pseudomurein endosiopeptidase,pseudomurein endosiopeptidase,7,0.0003,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
inhibitor of transcription initiation and antiterminator,inhibitor of transcription initiation and antiterminator,7,0.0003,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
sporulation stage III protein D,sporulation stage III protein D,7,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
GtrA-like O-antigen conversion,GtrA-like O-antigen conversion,7,0.0003,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
NifU-like Fe-S cluster assembly protein,NifU-like Fe-S cluster assembly protein,6,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cytolethal distending toxin C subunit,cytolethal distending toxin C subunit,6,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
radical SAM domain protein,radical SAM domain protein,5,0.0002,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
MIT family metal ion transporter,MIT family metal ion transporter,5,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Arc-like DNA binding domain,Arc-like DNA binding domain,5,0.0002,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
levanase,levanase,5,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
chitinase,chitinase,5,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
toxin of TA system,toxin of TA system,5,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
tyrosyl-tRNA synthetase,tyrosyl-tRNA synthetase,5,0.0002,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cytolethal distending toxin A subunit,cytolethal distending toxin A subunit,4,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
